dataset,seed_label,method,recall,recall_min,recall_max,impact,seed_count
aimnet2,10,force_magnitude,0.39543956043956047,0.3625,0.4125,0.32613376515611603,10.0
aimnet2,10,mp_ridge,0.6361648351648352,0.4375,0.880952380952381,0.4104496527006864,10.0
aimnet2,10,net_force,0.8855494505494506,0.8717948717948719,0.9,0.41308902248374607,10.0
aimnet2,10,random,0.35016844368327565,0.3369434416365824,0.3608247422680412,0.35016844368327565,10.0
aimnet2,10,ridge,0.6838333333333333,0.495,0.85,0.4065557871218193,10.0
aimnet2,10,rigid_force,0.9553388278388277,0.9404761904761904,0.975,0.41445403605413283,10.0
aimnet2,10,trees_log,0.45400183150183154,0.2625,0.6523809523809524,0.36718516385416033,10.0
aimnet2,10,trees_physics,0.5970586080586081,0.145,0.7974358974358975,0.35705558044734353,10.0
aimnet2,10,trees_raw,0.4590604395604395,0.2625,0.6452380952380953,0.365123917167861,10.0
aimnet2,100,force_magnitude,0.39543956043956047,0.3625,0.4125,0.32613376515611603,100.0
aimnet2,100,mp_ridge,0.8969743589743591,0.8825,0.9199999999999999,0.3425712674115175,100.0
aimnet2,100,net_force,0.8855494505494506,0.8717948717948719,0.9,0.41308902248374607,100.0
aimnet2,100,random,0.35016844368327565,0.3369434416365824,0.3608247422680412,0.35016844368327565,100.0
aimnet2,100,ridge,0.9292838827838829,0.915,0.9425000000000001,0.34022914632980533,100.0
aimnet2,100,rigid_force,0.9553388278388277,0.9404761904761904,0.975,0.41445403605413283,100.0
aimnet2,100,trees_log,0.9258260073260074,0.9128205128205129,0.9400000000000001,0.32200739257003425,100.0
aimnet2,100,trees_physics,0.919602564102564,0.9,0.9324999999999999,0.3017546642628032,100.0
aimnet2,100,trees_raw,0.9308278388278388,0.9125,0.9574999999999999,0.3179605662476777,100.0
aimnet2,20,force_magnitude,0.39543956043956047,0.3625,0.4125,0.32613376515611603,20.0
aimnet2,20,mp_ridge,0.7402509157509158,0.6275000000000001,0.9095238095238095,0.411278558687833,20.0
aimnet2,20,net_force,0.8855494505494506,0.8717948717948719,0.9,0.41308902248374607,20.0
aimnet2,20,random,0.35016844368327565,0.3369434416365824,0.3608247422680412,0.35016844368327565,20.0
aimnet2,20,ridge,0.7816849816849818,0.71,0.8404761904761905,0.4282340752937621,20.0
aimnet2,20,rigid_force,0.9553388278388277,0.9404761904761904,0.975,0.41445403605413283,20.0
aimnet2,20,trees_log,0.6944761904761905,0.425,0.8675,0.3980742778208664,20.0
aimnet2,20,trees_physics,0.8446648351648351,0.735,0.9349999999999999,0.3804459562642902,20.0
aimnet2,20,trees_raw,0.7179047619047619,0.4425,0.8775000000000001,0.3966608797340221,20.0
aimnet2,50,force_magnitude,0.39543956043956047,0.3625,0.4125,0.32613376515611603,50.0
aimnet2,50,mp_ridge,0.8800842490842491,0.8675,0.9261904761904762,0.38383578218609166,50.0
aimnet2,50,net_force,0.8855494505494506,0.8717948717948719,0.9,0.41308902248374607,50.0
aimnet2,50,random,0.35016844368327565,0.3369434416365824,0.3608247422680412,0.35016844368327565,50.0
aimnet2,50,ridge,0.9365695970695971,0.9199999999999999,0.9571428571428573,0.40106604014984226,50.0
aimnet2,50,rigid_force,0.9553388278388277,0.9404761904761904,0.975,0.41445403605413283,50.0
aimnet2,50,trees_log,0.9281227106227107,0.905,0.9525,0.3846298865714042,50.0
aimnet2,50,trees_physics,0.9473205128205129,0.9307692307692308,0.9650000000000001,0.36102413465753386,50.0
aimnet2,50,trees_raw,0.9341245421245421,0.9153846153846155,0.9475,0.3799083182209041,50.0
aimnet2,full,force_magnitude,0.39543956043956047,0.3625,0.4125,0.32613376515611603,200.0
aimnet2,full,mp_ridge,0.704551282051282,0.5769230769230769,0.8333333333333334,0.18637418688217836,200.0
aimnet2,full,net_force,0.8855494505494506,0.8717948717948719,0.9,0.41308902248374607,200.0
aimnet2,full,random,0.35016844368327565,0.3369434416365824,0.3608247422680412,0.35016844368327565,200.0
aimnet2,full,ridge,0.7165750915750916,0.5769230769230769,0.880952380952381,0.19090060515442697,200.0
aimnet2,full,rigid_force,0.9553388278388277,0.9404761904761904,0.975,0.41445403605413283,200.0
aimnet2,full,trees_log,0.6854468864468866,0.5846153846153846,0.7976190476190477,0.175122574325347,200.0
aimnet2,full,trees_physics,0.669415750915751,0.5641025641025641,0.7404761904761905,0.16627560812686068,200.0
aimnet2,full,trees_raw,0.690032967032967,0.5923076923076923,0.7928571428571429,0.1734790767529675,200.0
transition1x,10,force_magnitude,0.37422924375936273,0.3411764705882353,0.4246575342465754,0.8595827096982134,10.0
