dataset,fold,repeat,seed_label,seed_count,pool_count,total_count,method,selected_count,recall,impact
aimnet2,0,1,50,50,799,280,force_magnitude,280,0.4125,0.32523160067786033
aimnet2,0,1,50,50,799,280,random,280,0.3504380475594493,0.3504380475594493
aimnet2,0,1,100,100,799,280,trees_log,180,0.9625,0.31050633964305924
aimnet2,0,1,100,100,799,280,trees_raw,180,0.975,0.3073851269858669
aimnet2,0,1,100,100,799,280,trees_physics,180,0.9125,0.28300445756216164
aimnet2,0,1,100,100,799,280,ridge,180,0.95,0.32670486181745195
aimnet2,0,1,100,100,799,280,mp_ridge,180,0.8875,0.3354561274123431
aimnet2,0,1,100,100,799,280,net_force,280,0.8875,0.39706454520096246
aimnet2,0,1,100,100,799,280,rigid_force,280,0.975,0.4013885152516627
aimnet2,0,1,100,100,799,280,force_magnitude,280,0.4125,0.32523160067786033
aimnet2,0,1,100,100,799,280,random,280,0.3504380475594493,0.3504380475594493
aimnet2,0,1,full,201,799,280,trees_log,79,0.7,0.17315839726790477
aimnet2,0,1,full,201,799,280,trees_raw,79,0.7125,0.17448854977006598
aimnet2,0,1,full,201,799,280,trees_physics,79,0.675,0.1600100290003522
aimnet2,0,1,full,201,799,280,ridge,79,0.725,0.1872933180738544
aimnet2,0,1,full,201,799,280,mp_ridge,79,0.7125,0.18097102572184567
aimnet2,0,1,full,201,799,280,net_force,280,0.8875,0.39706454520096246
aimnet2,0,1,full,201,799,280,rigid_force,280,0.975,0.4013885152516627
aimnet2,0,1,full,201,799,280,force_magnitude,280,0.4125,0.32523160067786033
aimnet2,0,1,full,201,799,280,random,280,0.3504380475594493,0.3504380475594493
aimnet2,0,2,10,10,799,280,trees_log,270,0.1375,0.4013565719205716
aimnet2,0,2,10,10,799,280,trees_raw,270,0.1375,0.4023932581055044
aimnet2,0,2,10,10,799,280,trees_physics,270,0.7625,0.36235842744873226
aimnet2,0,2,10,10,799,280,ridge,270,0.8875,0.48059835655569977
aimnet2,0,2,10,10,799,280,mp_ridge,270,0.525,0.5015487347287518
aimnet2,0,2,10,10,799,280,net_force,280,0.8875,0.39706454520096246
aimnet2,0,2,10,10,799,280,rigid_force,280,0.975,0.4013885152516627
aimnet2,0,2,10,10,799,280,force_magnitude,280,0.4125,0.32523160067786033
aimnet2,0,2,10,10,799,280,random,280,0.3504380475594493,0.3504380475594493
aimnet2,0,2,20,20,799,280,trees_log,260,0.6875,0.4355132923145519
aimnet2,0,2,20,20,799,280,trees_raw,260,0.825,0.4407675710910162
aimnet2,0,2,20,20,799,280,trees_physics,260,0.975,0.3798691658499662
aimnet2,0,2,20,20,799,280,ridge,260,0.9375,0.4358492693143557
aimnet2,0,2,20,20,799,280,mp_ridge,260,0.5875,0.47789198831828783
aimnet2,0,2,20,20,799,280,net_force,280,0.8875,0.39706454520096246
aimnet2,0,2,20,20,799,280,rigid_force,280,0.975,0.4013885152516627
aimnet2,0,2,20,20,799,280,force_magnitude,280,0.4125,0.32523160067786033
aimnet2,0,2,20,20,799,280,random,280,0.3504380475594493,0.3504380475594493
aimnet2,0,2,50,50,799,280,trees_log,230,0.925,0.4176278338803285
aimnet2,0,2,50,50,799,280,trees_raw,230,0.95,0.41234524835236025
aimnet2,0,2,50,50,799,280,trees_physics,230,0.9625,0.34799389611501996
aimnet2,0,2,50,50,799,280,ridge,230,0.775,0.4266190515451492
aimnet2,0,2,50,50,799,280,mp_ridge,230,0.975,0.4037084830619048
aimnet2,0,2,50,50,799,280,net_force,280,0.8875,0.39706454520096246
aimnet2,0,2,50,50,799,280,rigid_force,280,0.975,0.4013885152516627
aimnet2,0,2,50,50,799,280,force_magnitude,280,0.4125,0.32523160067786033
aimnet2,0,2,50,50,799,280,random,280,0.3504380475594493,0.3504380475594493
aimnet2,0,2,100,100,799,280,trees_log,180,0.9625,0.3268644280859911
aimnet2,0,2,100,100,799,280,trees_raw,180,0.9625,0.3283805183749599
aimnet2,0,2,100,100,799,280,trees_physics,180,0.925,0.28835468230070593
aimnet2,0,2,100,100,799,280,ridge,180,0.9375,0.33759130393955394
aimnet2,0,2,100,100,799,280,mp_ridge,180,0.8875,0.33325606055905566
aimnet2,0,2,100,100,799,280,net_force,280,0.8875,0.39706454520096246
aimnet2,0,2,100,100,799,280,rigid_force,280,0.975,0.4013885152516627
aimnet2,0,2,100,100,799,280,force_magnitude,280,0.4125,0.32523160067786033
aimnet2,0,2,100,100,799,280,random,280,0.3504380475594493,0.3504380475594493
aimnet2,0,2,full,201,799,280,trees_log,79,0.7,0.17322583259225202
aimnet2,0,2,full,201,799,280,trees_raw,79,0.7,0.17259677431490897
aimnet2,0,2,full,201,799,280,trees_physics,79,0.675,0.15922542899874534
aimnet2,0,2,full,201,799,280,ridge,79,0.725,0.1872933180738544
aimnet2,0,2,full,201,799,280,mp_ridge,79,0.7125,0.18097102572184567
aimnet2,0,2,full,201,799,280,net_force,280,0.8875,0.39706454520096246
aimnet2,0,2,full,201,799,280,rigid_force,280,0.975,0.4013885152516627
aimnet2,0,2,full,201,799,280,force_magnitude,280,0.4125,0.32523160067786033
aimnet2,0,2,full,201,799,280,random,280,0.3504380475594493,0.3504380475594493
aimnet2,0,3,10,10,799,280,trees_log,270,0.575,0.30190334680513414
aimnet2,0,3,10,10,799,280,trees_raw,270,0.6375,0.2954532648537738
aimnet2,0,3,10,10,799,280,trees_physics,270,0.675,0.3527873378742231
